Engine,Correctness,Infallibility,Difficulty Concordance of Correctness,Difficulty Concordance of Incorrectness,Prompt Robustness of Correctness,Prompt Robustness of Incorrectness
BLOOM-560m,0.011636267026630986,0.8701464315120921,0.5849674876403966,0.10051418153462102,0.31138979155864005,0.2326411550180108
BLOOM-1b1,0.017360839010506644,0.857806323916666,0.5849832031430842,0.09632481473741643,0.30255547235225955,0.22911457863311227
BLOOM-1b7,0.026623658375209115,0.7507884335044481,0.5025119218635694,0.09204594771024718,0.32144928452403265,0.22168103470885106
BLOOM-3b,0.02816306857060491,0.8141292746045169,0.4908736330706146,0.09140142259819087,0.2569395752296796,0.14953872699793913
BLOOM-7b1,0.041965254067709776,0.7899185842686977,0.43464122089914514,0.08257086444998848,0.35861187962724833,0.23886389307232586
BLOOM-176b,0.07051225741201399,0.6919881356717037,0.339902075013212,0.0762301667733408,0.399242393464927,0.2676383789616118
BLOOMz-560m,0.0635414948327468,0.4041158587719783,0.44662040706871053,0.07028613837254251,0.5510693381189097,0.3468565239961459
BLOOMz-1b1,0.0580236646995048,0.4134119946875904,0.4556681145914231,0.06618531945685648,0.5044730723299979,0.2778397931875217
BLOOMz-1b7,0.0908626064963178,0.499821908527695,0.41552060358619497,0.07071683896088299,0.5269603786872463,0.31058775622637047
BLOOMz-3b,0.12055943818230459,0.44489566340721476,0.38843991424494106,0.08249147552500923,0.5337922576833373,0.42041494793260237
BLOOMz-7b1,0.1366154001334048,0.46419263544200734,0.3640413570717146,0.07353424430229585,0.5613746416863268,0.39390262136202275
BLOOMz-176b,0.17086637174865998,0.46209422873059725,0.30728575580333556,0.07638066498336771,0.6025430907857972,0.4969081989082847
