Engine,Correctness,Infallibility,Difficulty Concordance of Correctness,Difficulty Concordance of Incorrectness,Prompt Robustness of Correctness,Prompt Robustness of Incorrectness
GPT-3 Ada,0.02170306226049465,0.8543910993311602,0.4626877394328169,0.09144401718182744,0.2786402794015082,0.0961521185657244
GPT-3 Babbage,0.03412377948933852,0.7382020130332874,0.42581806369103237,0.08182023212461875,0.26084560842928034,0.1280635303459309
GPT-3 Curie,0.049607637646365714,0.6514254661262701,0.3993713368929663,0.07731460921890237,0.26094996731552245,0.1338427334154905
GPT-3 Davinci,0.08109753316191323,0.6307453555605009,0.2831342681009686,0.07905676890552163,0.35241669782390417,0.22327872541031857
text-davinci-001,0.19830001368035108,0.3134179372752502,0.2042924629778476,0.09968831409001401,0.5833592697835106,0.4778113337377691
text-davinci-002,0.2866958081750433,0.34231204499120005,0.1540471059881577,0.0963934868606939,0.6547104621376055,0.5635083355061129
text-davinci-003,0.3093713600833731,0.32499323615813197,0.15542904210316827,0.1345296559548803,0.7019149553698031,0.6817153680480642
GPT-3.5-turbo,0.3715459140351388,0.4350250505023682,0.11305601993302153,0.10493917911604518,0.7070572796496987,0.6442281752818972
GPT-4 v1,0.4208210219691878,0.44633462366246873,0.10528412545197785,0.1060193186104598,0.7285837496023191,0.6966574860963701
GPT-4 v2,0.44392944487317,0.46541198264623374,0.10257969937003153,0.1051156381347997,0.7680301994404131,0.7427660647439429
