Engine,Correctness,Infallibility,Difficulty Concordance of Correctness,Difficulty Concordance of Incorrectness,Prompt Stability of Correctness,Prompt Stability of Incorrectness
GPT-3 Ada,0.02170306226049465,0.8543910993311602,0.4626877394328169,0.09144401718182744,0.9400019479936986,0.5755104907144105
GPT-3 Babbage,0.03412377948933852,0.7382020130332874,0.42581806369103237,0.08182023212461875,0.8989580963197479,0.3675917501379156
GPT-3 Curie,0.049607637646365714,0.6514254661262701,0.3993713368929663,0.07731460921890237,0.8594494019203601,0.32134619618723326
GPT-3 Davinci,0.08109753316191323,0.6307453555605009,0.2831342681009686,0.07905676890552163,0.9393811863200157,0.45797706162853463
text-davinci-001,0.19830001368035108,0.3134179372752502,0.2042924629778476,0.09968831409001401,0.7699547453371838,0.6158646570220327
text-davinci-002,0.2866958081750433,0.34231204499120005,0.1540471059881577,0.0963934868606939,0.7615394568315258,0.6774743404170912
text-davinci-003,0.3093713600833731,0.32499323615813197,0.15542904210316827,0.1345296559548803,0.7814678452051982,0.7690091026911556
GPT-3.5-turbo,0.3715459140351388,0.4350250505023682,0.11305601993302153,0.10493917911604518,0.7530159017580299,0.6878330562566917
GPT-4 v1,0.4208210219691878,0.44633462366246873,0.10528412545197785,0.1060193186104598,0.7763696363650927,0.7457689467337267
GPT-4 v2,0.44392944487317,0.46541198264623374,0.10257969937003153,0.1051156381347997,0.8039426310920831,0.7814662827209341
