Engine,Correctness,Infallibility,Difficulty Concordance of Correctness,Difficulty Concordance of Incorrectness,Prompt Stability of Correctness,Prompt Stability of Incorrectness
LLaMA-7b,0.07921868507480692,0.5876557888105408,0.2964413122215789,0.07772705138214824,0.8015204332413187,0.3521263678214421
LLaMA-13b,0.08796641058441673,0.603532091981476,0.2695091956737256,0.07614950039590009,0.7739125349723746,0.3380422283269627
LLaMA-30b,0.11326696653271391,0.6026380310743662,0.22655472066692509,0.08021144516292583,0.7475044957877417,0.4106971307606848
LLaMA-65b,0.12417990013333616,0.5993213650370779,0.20967968782945717,0.08141613742034766,0.731061932933822,0.460688315147512
LLaMA-2-7b,0.08155069445282961,0.5918224753645412,0.26587710442516255,0.07525452995039587,0.7918893490391004,0.3363596353183127
LLaMA-2-13b,0.12856635148913692,0.5401592592440589,0.24296179785845,0.07716182450272849,0.7348840599262431,0.367983231968715
LLaMA-2-70b,0.17666809598326905,0.596843228497998,0.18197213723657096,0.07950703538328778,0.6439984872691142,0.3896467014113524
LLaMA-2-7b-chat,0.1395976251924707,0.47825007212817355,0.24681257133787565,0.06724902286859646,0.7266583355707835,0.2584845838190236
LLaMA-2-13b-chat,0.15779735628506208,0.516153565052015,0.231779090386912,0.08159520351972813,0.7234003257182855,0.39762052820774024
LLaMA-2-70b-chat,0.2509456720288409,0.3882639964613816,0.1899255751814258,0.07718445863330034,0.7129336344249679,0.47958080471241793
